----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 24, 60, 60]           2,592
       BatchNorm2d-2           [-1, 24, 60, 60]              48
              SiLU-3           [-1, 24, 60, 60]               0
            Conv2d-4           [-1, 24, 60, 60]           5,184
       BatchNorm2d-5           [-1, 24, 60, 60]              48
              SiLU-6           [-1, 24, 60, 60]               0
   StochasticDepth-7           [-1, 24, 60, 60]               0
       FusedMBConv-8           [-1, 24, 60, 60]               0
            Conv2d-9           [-1, 24, 60, 60]           5,184
      BatchNorm2d-10           [-1, 24, 60, 60]              48
             SiLU-11           [-1, 24, 60, 60]               0
  StochasticDepth-12           [-1, 24, 60, 60]               0
      FusedMBConv-13           [-1, 24, 60, 60]               0
           Conv2d-14           [-1, 24, 60, 60]           5,184
      BatchNorm2d-15           [-1, 24, 60, 60]              48
             SiLU-16           [-1, 24, 60, 60]               0
  StochasticDepth-17           [-1, 24, 60, 60]               0
      FusedMBConv-18           [-1, 24, 60, 60]               0
           Conv2d-19           [-1, 96, 30, 30]          20,736
      BatchNorm2d-20           [-1, 96, 30, 30]             192
             SiLU-21           [-1, 96, 30, 30]               0
           Conv2d-22           [-1, 48, 30, 30]           4,608
      BatchNorm2d-23           [-1, 48, 30, 30]              96
      FusedMBConv-24           [-1, 48, 30, 30]               0
           Conv2d-25          [-1, 192, 30, 30]          82,944
      BatchNorm2d-26          [-1, 192, 30, 30]             384
             SiLU-27          [-1, 192, 30, 30]               0
           Conv2d-28           [-1, 48, 30, 30]           9,216
      BatchNorm2d-29           [-1, 48, 30, 30]              96
  StochasticDepth-30           [-1, 48, 30, 30]               0
      FusedMBConv-31           [-1, 48, 30, 30]               0
           Conv2d-32          [-1, 192, 30, 30]          82,944
      BatchNorm2d-33          [-1, 192, 30, 30]             384
             SiLU-34          [-1, 192, 30, 30]               0
           Conv2d-35           [-1, 48, 30, 30]           9,216
      BatchNorm2d-36           [-1, 48, 30, 30]              96
  StochasticDepth-37           [-1, 48, 30, 30]               0
      FusedMBConv-38           [-1, 48, 30, 30]               0
           Conv2d-39          [-1, 192, 30, 30]          82,944
      BatchNorm2d-40          [-1, 192, 30, 30]             384
             SiLU-41          [-1, 192, 30, 30]               0
           Conv2d-42           [-1, 48, 30, 30]           9,216
      BatchNorm2d-43           [-1, 48, 30, 30]              96
  StochasticDepth-44           [-1, 48, 30, 30]               0
      FusedMBConv-45           [-1, 48, 30, 30]               0
           Conv2d-46          [-1, 192, 30, 30]          82,944
      BatchNorm2d-47          [-1, 192, 30, 30]             384
             SiLU-48          [-1, 192, 30, 30]               0
           Conv2d-49           [-1, 48, 30, 30]           9,216
      BatchNorm2d-50           [-1, 48, 30, 30]              96
  StochasticDepth-51           [-1, 48, 30, 30]               0
      FusedMBConv-52           [-1, 48, 30, 30]               0
           Conv2d-53          [-1, 192, 15, 15]          82,944
      BatchNorm2d-54          [-1, 192, 15, 15]             384
             SiLU-55          [-1, 192, 15, 15]               0
           Conv2d-56           [-1, 80, 15, 15]          15,360
      BatchNorm2d-57           [-1, 80, 15, 15]             160
      FusedMBConv-58           [-1, 80, 15, 15]               0
           Conv2d-59          [-1, 320, 15, 15]         230,400
      BatchNorm2d-60          [-1, 320, 15, 15]             640
             SiLU-61          [-1, 320, 15, 15]               0
           Conv2d-62           [-1, 80, 15, 15]          25,600
      BatchNorm2d-63           [-1, 80, 15, 15]             160
  StochasticDepth-64           [-1, 80, 15, 15]               0
      FusedMBConv-65           [-1, 80, 15, 15]               0
           Conv2d-66          [-1, 320, 15, 15]         230,400
      BatchNorm2d-67          [-1, 320, 15, 15]             640
             SiLU-68          [-1, 320, 15, 15]               0
           Conv2d-69           [-1, 80, 15, 15]          25,600
      BatchNorm2d-70           [-1, 80, 15, 15]             160
  StochasticDepth-71           [-1, 80, 15, 15]               0
      FusedMBConv-72           [-1, 80, 15, 15]               0
           Conv2d-73          [-1, 320, 15, 15]         230,400
      BatchNorm2d-74          [-1, 320, 15, 15]             640
             SiLU-75          [-1, 320, 15, 15]               0
           Conv2d-76           [-1, 80, 15, 15]          25,600
      BatchNorm2d-77           [-1, 80, 15, 15]             160
  StochasticDepth-78           [-1, 80, 15, 15]               0
      FusedMBConv-79           [-1, 80, 15, 15]               0
           Conv2d-80          [-1, 320, 15, 15]         230,400
      BatchNorm2d-81          [-1, 320, 15, 15]             640
             SiLU-82          [-1, 320, 15, 15]               0
           Conv2d-83           [-1, 80, 15, 15]          25,600
      BatchNorm2d-84           [-1, 80, 15, 15]             160
  StochasticDepth-85           [-1, 80, 15, 15]               0
      FusedMBConv-86           [-1, 80, 15, 15]               0
           Conv2d-87          [-1, 320, 15, 15]          25,600
      BatchNorm2d-88          [-1, 320, 15, 15]             640
             SiLU-89          [-1, 320, 15, 15]               0
           Conv2d-90            [-1, 320, 8, 8]           2,880
      BatchNorm2d-91            [-1, 320, 8, 8]             640
             SiLU-92            [-1, 320, 8, 8]               0
AdaptiveAvgPool2d-93            [-1, 320, 1, 1]               0
           Conv2d-94             [-1, 20, 1, 1]           6,420
             SiLU-95             [-1, 20, 1, 1]               0
           Conv2d-96            [-1, 320, 1, 1]           6,720
          Sigmoid-97            [-1, 320, 1, 1]               0
SqueezeExcitation-98            [-1, 320, 8, 8]               0
           Conv2d-99            [-1, 160, 8, 8]          51,200
